bhk,type,locality,area,price,price_unit,region,status,age
1,Apartment,Pyramid Elements,465,90,L,Airoli,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1047,49.58,L,Ambernath West,Under Construction,New
2,Apartment,Dev Drashti Empire Phase 1,1080,57.24,L,Bhiwandi,Ready to move,New
2,Apartment,B G Shirke Monte Verita West Tower,555,1.31,Cr,Borivali East,Under Construction,New
1,Apartment,Jindal Avenue,261,47.49,L,Panvel,Under Construction,New
2,Apartment,Walekar Homes,528,31.5,L,Ambernath West,Ready to move,New
2,Apartment,Sri Garden Avenue K,586,45.03,L,Virar,Under Construction,New
2,Apartment,Anant Residency,563,42,L,Panvel,Under Construction,New
2,Apartment,Ravechi Shreeji Divine,990,1.51,Cr,Kharghar,Under Construction,New
2,Apartment,Neelkanth Auris,709,1.14,Cr,Panvel,Under Construction,New
4,Apartment,Shree Krupa Nandanvan Homes Building B,1300,2.54,Cr,Thane West,Under Construction,New
2,Apartment,Tajjodin Taj Regency,628,90,L,Kamothe,Under Construction,New
2,Apartment,Avant Heritage III,587,1.4,Cr,Jogeshwari East,Under Construction,New
3,Apartment,Kalpataru Kalpataru Elitus,1056,2.45,Cr,Mulund West,Under Construction,New
1,Independent House,VBHC 47 Rowland Park,701,30.99,L,Palghar,Under Construction,New
3,Apartment,Sunteck City First Impression,902,2.59,Cr,Goregaon West,Under Construction,New
1,Apartment,Siddhivinayak Siddhivinayak Gaurav,695,31.8,L,Taloja,Under Construction,New
1,Apartment,A M Balaji Heights,313,27.56,L,Rasayani,Under Construction,New
1,Studio Apartment,Sai Shrushti Vatika,270,20.39,L,Thane West,Under Construction,New
2,Apartment,Piramal S Class Homes,625,1.47,Cr,Mulund West,Under Construction,New
2,Apartment,Rishabraj Vicinia,639,1.91,Cr,Ghatkopar East,Under Construction,New
2,Apartment,Qualitas QN Greens Phase 1,614,44.44,L,Taloja,Ready to move,New
1,Apartment,Precious Group Precious Meadows,365,29.02,L,Ulhasnagar,Under Construction,New
1,Apartment,Tulip Empire,750,57,L,Ulwe,Under Construction,New
1,Apartment,Radheya Sai Enclave Building No 2,425,33.49,L,Naigaon East,Under Construction,New
3,Apartment,Romell Serene,845,2.35,Cr,Borivali West,Under Construction,New
1,Apartment,Origin Oriana,473,69.65,L,Mira Road East,Under Construction,New
1,Apartment,Radheya Sai Enclave Building No 2,425,33.49,L,Naigaon East,Under Construction,New
2,Apartment,Radheya Sai Enclave Building No 2,618,50.5,L,Naigaon East,Under Construction,New
2,Apartment,Radheya Sai Enclave Building No 2,618,50.5,L,Naigaon East,Under Construction,New
1,Apartment,Radheya Sai Enclave Building No 2,430,34.91,L,Naigaon East,Under Construction,New
1,Apartment,Radheya Sai Enclave Building No 2,430,34.91,L,Naigaon East,Under Construction,New
3,Apartment,Romell Serene,845,2.35,Cr,Borivali West,Under Construction,New
2,Apartment,Romell Serene,610,1.73,Cr,Borivali West,Under Construction,New
2,Apartment,Romell Serene,610,1.73,Cr,Borivali West,Under Construction,New
3,Apartment,Romell Serene,845,2.35,Cr,Borivali West,Under Construction,New
3,Apartment,Romell Serene,845,2.35,Cr,Borivali West,Under Construction,New
1,Apartment,Ashapura Mokshit Majesta,425,36,L,Dombivali,Under Construction,New
1,Apartment,Ashapura Mokshit Majesta,425,36,L,Dombivali,Under Construction,New
2,Apartment,Ashapura Mokshit Majesta,651,56,L,Dombivali,Under Construction,New
2,Apartment,Ashapura Mokshit Majesta,651,56,L,Dombivali,Under Construction,New
1,Apartment,Ashapura Mokshit Majesta,425,36,L,Dombivali,Under Construction,New
1,Apartment,Ashapura Mokshit Majesta,425,36,L,Dombivali,Under Construction,New
2,Apartment,Ashapura Mokshit Majesta,651,56,L,Dombivali,Under Construction,New
2,Apartment,Ashapura Mokshit Majesta,651,56,L,Dombivali,Under Construction,New
1,Apartment,Origin Oriana,473,69.65,L,Mira Road East,Under Construction,New
3,Apartment,Origin Oriana,946,1.38,Cr,Mira Road East,Under Construction,New
3,Apartment,Origin Oriana,946,1.38,Cr,Mira Road East,Under Construction,New
2,Apartment,Origin Oriana,667,94.99,L,Mira Road East,Under Construction,New
2,Apartment,Origin Oriana,667,94.99,L,Mira Road East,Under Construction,New
2,Apartment,Origin Oriana,682,97.14,L,Mira Road East,Under Construction,New
2,Apartment,Origin Oriana,682,97.14,L,Mira Road East,Under Construction,New
3,Apartment,Bhoomi Simana Wing A Phase 1,1133,4.79,Cr,Parel,Under Construction,New
3,Apartment,Bhoomi Simana Wing A Phase 1,1133,4.79,Cr,Parel,Under Construction,New
3,Villa,Agami Estancia,2187,1.49,Cr,Boisar,Under Construction,New
3,Villa,Agami Estancia,2187,1.49,Cr,Boisar,Under Construction,New
2,Apartment,Sanghvi Infenia,579,1.81,Cr,Santacruz East,Under Construction,New
2,Apartment,Sanghvi Infenia,579,1.81,Cr,Santacruz East,Under Construction,New
2,Apartment,Shubh Shreeji Heights,486,36,L,Badlapur East,Ready to move,New
2,Apartment,Shubh Shreeji Heights,486,36,L,Badlapur East,Ready to move,New
1,Apartment,Shubh Shreeji Heights,361,28,L,Badlapur East,Ready to move,New
1,Apartment,Shubh Shreeji Heights,361,28,L,Badlapur East,Ready to move,New
1,Apartment,Shubh Shreeji Heights,377,28.2,L,Badlapur East,Ready to move,New
1,Apartment,Shubh Shreeji Heights,377,28.2,L,Badlapur East,Ready to move,New
1,Apartment,Shubh Shreeji Heights,382,28.61,L,Badlapur East,Ready to move,New
