bhk,type,locality,area,price,price_unit,region,status,age
2,Apartment,Rishabraj Vicinia,633,1.89,Cr,Ghatkopar East,Under Construction,New
2,Apartment,Rishabraj Nemi Elegance,643,1.6,Cr,Kandivali West,Under Construction,New
2,Apartment,Rishabraj Nemi Elegance,644,1.61,Cr,Kandivali West,Under Construction,New
1,Apartment,Qualitas QN Greens Phase 1,340,24.58,L,Taloja,Ready to move,New
1,Apartment,Qualitas QN Greens Phase 1,447,32.32,L,Taloja,Ready to move,New
3,Apartment,Riddhi Siddhi Imperial,928,61,L,Taloja,Under Construction,New
1,Apartment,Riddhi Siddhi Imperial,375,24.5,L,Taloja,Under Construction,New
2,Apartment,Riddhi Siddhi Imperial,595,39,L,Taloja,Under Construction,New
2,Apartment,Kalpataru Elegante,626,1.53,Cr,Kandivali East,Under Construction,New
2,Apartment,Kalpataru Elegante,626,1.53,Cr,Kandivali East,Under Construction,New
2,Apartment,Kalpataru Elegante,706,1.72,Cr,Kandivali East,Under Construction,New
1,Apartment,Kalpataru Elegante,448,1.09,Cr,Kandivali East,Under Construction,New
2,Apartment,Kalpataru Elegante,678,1.66,Cr,Kandivali East,Under Construction,New
3,Apartment,Gajra Mahavir Chhaya CHS,1380,3.7,Cr,Ghatkopar East,Ready to move,Resale
1,Apartment,Sanghvi S3 Skyrise,660,52,L,Mira Road East,Under Construction,New
1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.85,L,Ulwe,Ready to move,New
1,Apartment,Ramji Hari Minat Naagraj Classic,615,34.31,L,Ulwe,Ready to move,New
1,Apartment,Sethia Pride Wing A,395,83,L,Kandivali East,Under Construction,New
1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.5,L,Ulwe,Ready to move,New
1,Studio Apartment,Ramji Hari Minat Naagraj Classic,425,22.45,L,Ulwe,Ready to move,New
4,Apartment,Runwal Runwal Greens Wing 5 To 8,2500,5,Cr,Bhandup West,Ready to move,Resale
3,Apartment,N Rose Northern Heights,1106,2.6,Cr,Dahisar,Under Construction,New
2,Apartment,Raj Rudraksha Building No 10,624,1.15,Cr,Dahisar,Ready to move,New
1,Apartment,Lodha Mira Road Project 1,750,80,L,Mira Road East,Ready to move,Resale
3,Apartment,SD Building No 3 Wing C Aquila,1023,2.6,Cr,Kandivali East,Under Construction,New
2,Apartment,White Berry Residency,623,1.83,Cr,Kandivali East,Under Construction,Resale
3,Apartment,White Berry Residency,1046,3.08,Cr,Kandivali East,Under Construction,Resale
2,Apartment,Nahar Cayenne,1020,2.3,Cr,Powai,Ready to move,Resale
1,Apartment,Lodha Crown,322,59.99,L,Thane West,Under Construction,New
1,Studio Apartment,Ramji Hari Minat Naagraj Classic,425,23.96,L,Ulwe,Ready to move,New
1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.77,L,Ulwe,Ready to move,New
1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.38,L,Ulwe,Ready to move,New
2,Apartment,Ashwin Kandivali Sai Prassana Chs Ltd,585,1.46,Cr,Kandivali West,Under Construction,Resale
1,Apartment,Ashwin Kandivali Sai Prassana Chs Ltd,418,1.04,Cr,Kandivali West,Under Construction,Resale
2,Apartment,Westin Eksar Gurukripa CHS LTD,611,1.77,Cr,Borivali West,Ready to move,Resale
2,Apartment,Krishna Pratima,558,1.6,Cr,Borivali West,Ready to move,Resale
3,Apartment,Rodium X Line Shraddha Apartment,831,2.32,Cr,Kandivali West,Under Construction,Resale
2,Apartment,Aadhunik Aura,636,1.75,Cr,Borivali West,Under Construction,Resale
3,Apartment,Shubhabhumi Patkeshwar Apartment Chs Ltd,775,2.35,Cr,Borivali West,Under Construction,Resale
1,Apartment,Today Mangalam,600,35,L,Panvel,Under Construction,New
1,Apartment,Swaminarayan City Phase 1A,600,41,L,Dombivali,Under Construction,New
3,Apartment,Provident Palmvista B2,1395,78,L,Nilje Gaon,Under Construction,New
1,Apartment,Happy Gagangiri Vihar,615,23.3,L,Khopoli,Ready to move,New
2,Apartment,Sheth Avalon,1100,1.85,Cr,Thane West,Ready to move,Resale
2,Apartment,Natu Ozone Valley,853,99,L,Thane West,Ready to move,New
3,Apartment,Soham Crystal Spires,1213,2.54,Cr,Thane West,Under Construction,New
2,Apartment,Soham Crystal Spires,993,1.74,Cr,Thane West,Under Construction,New
4,Apartment,Soham Crystal Spires,2680,5.14,Cr,Thane West,Under Construction,New
3,Apartment,Soham Crystal Spires,1665,3.1,Cr,Thane West,Under Construction,New
2,Apartment,Leena Bhairav Residency,1155,87.85,L,Mira Road East,Ready to move,Resale
2,Apartment,Shree Khodiyar Morivali Prarambh,933,38,L,Ambernath East,Under Construction,New
2,Apartment,Radhamohan Shiv Shrushti,793,27.5,L,Karjat,Under Construction,New
1,Apartment,Shree Khodiyar Morivali Prarambh,675,28,L,Ambernath East,Under Construction,New
2,Apartment,Sarthak Homes,820,28.62,L,Karjat,Ready to move,New
1,Apartment,Shree Tulsi Sagar Sargam Residency,492,16.6,L,Karjat,Under Construction,New
1,Apartment,Radhamohan Shiv Shrushti,625,21.8,L,Karjat,Under Construction,New
1,Apartment,Neminath Sejal Kajal Apartment Chs Ltd,690,95,L,Goregaon West,Under Construction,New
3,Apartment,Neelkanth Palms,1400,2,Cr,Thane West,Ready to move,Resale
3,Apartment,Shubham Jijai Angan,1175,57,L,Taloja,Under Construction,New
3,Apartment,Shubham Jijai Angan,1175,57,L,Taloja,Under Construction,New
3,Apartment,Shubham Jijai Angan,1240,59.52,L,Taloja,Under Construction,New
1,Apartment,Sunteck Maxx World,549,44.1,L,Naigaon East,Under Construction,New
2,Apartment,Navkar City Phase I Part 9,752,48.99,L,Naigaon East,Under Construction,New
1,Apartment,SK Imperial Heights,623,56,L,Mira Road East,Ready to move,New
2,Apartment,Strawberry Onyx,733,85,L,Mira Road East,Ready to move,New
2,Apartment,Tanvi Eminence I,970,85,L,Mira Road East,Ready to move,Resale
1,Apartment,JSB Nakshatra Aarambh,585,32,L,Naigaon East,Under Construction,New
2,Apartment,Kalpataru Srishti,829,1.15,Cr,Mira Road East,Under Construction,New
2,Apartment,Dignity Divine,1283,2.6,Cr,Wadala,Ready to move,New
2,Apartment,Siddhi Highland Gardens,799,1.19,Cr,Thane West,Ready to move,Resale
2,Apartment,Siddhi Highland Haven,960,1.08,Cr,Thane West,Ready to move,Resale
1,Apartment,Siddhi Highland Park,650,79,L,Thane West,Ready to move,Resale
1,Apartment,Sunteck One World,543,34,L,Naigaon East,Under Construction,New
3,Apartment,SKD Pinnacolo And Pinnacolo NX,1251,1.26,Cr,Mira Road East,Under Construction,New
2,Apartment,RNA NG NG Diamond Hill B Phase I,999,87,L,Bhayandar East,Ready to move,New
2,Apartment,JP Codename Dream Home Tower C,838,1.05,Cr,Mira Road East,Under Construction,New
1,Apartment,JK IRIS,769,63,L,Mira Road East,Ready to move,New
1,Apartment,Strawberry Onyx,553,59,L,Mira Road East,Ready to move,New
1,Apartment,JK IRIS,666,63,L,Mira Road East,Ready to move,New
3,Apartment,Dream Arihant Niwara Sky,1635,1.9,Cr,Sion,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,436,36.2,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,467,38.1,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,436,36.2,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,501,39,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,467,38.1,L,Bhiwandi,Under Construction,New
2,Apartment,Happy Home Sarvoday Greens,657,55,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,501,39,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,408,34.5,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,438,36.9,L,Bhiwandi,Under Construction,New
2,Apartment,Happy Home Sarvoday Greens,657,55,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,408,34.5,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,456,37.4,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,438,36.9,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,514,40.5,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,456,37.4,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,505,39.5,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,514,40.5,L,Bhiwandi,Under Construction,New
1,Apartment,Happy Home Sarvoday Greens,505,39.5,L,Bhiwandi,Under Construction,New
3,Apartment,City Pride,1035,38.95,L,Badlapur East,Under Construction,New
1,Apartment,Dream Arihant Niwara Sky,750,95,L,Sion,Under Construction,New
2,Apartment,Ravi Shubh Atika,1048,81.8,L,Mira Road East,Ready to move,Resale
3,Apartment,Nahar Amrit Shakti,1545,3.15,Cr,Powai,Ready to move,Resale
1,Apartment,JVM Pearl,650,56,L,Thane West,Ready to move,Resale
1,Apartment,Laabh Pehla Ghar Shubh Sanket Complex,450,44,L,Thane West,Ready to move,Resale
1,Apartment,Vihang Valley,650,61,L,Thane West,Ready to move,Resale
3,Apartment,ACME Oasis ,1040,2.15,Cr,Kandivali East,Ready to move,Resale
2,Apartment,Today Mangalam,1000,55,L,Panvel,Under Construction,New
1,Apartment,Navkar City Phase I Part 9,401,34.99,L,Naigaon East,Under Construction,New
3,Apartment,Kalpataru Srishti,1239,1.3,Cr,Mira Road East,Under Construction,New
1,Apartment,Shree Khodiyar Morivali Richmand Park,630,26.2,L,Ambernath East,Under Construction,New
1,Studio Apartment,Anmol The Nature Phase II,375,14.95,L,Karjat,Under Construction,New
1,Apartment,Arihant City Phase II,479,46.99,L,Bhiwandi,Under Construction,New
1,Apartment,Arihant City Phase II,432,43,L,Bhiwandi,Under Construction,New
1,Apartment,Arihant City Phase II,579,57,L,Bhiwandi,Under Construction,New
1,Apartment,Mane Park View,645,38,L,Panvel,Ready to move,Resale
1,Apartment,Unique Elanza,512,52.5,L,Mira Road East,Under Construction,New
2,Apartment,MICL Aaradhya Highpark,877,1.17,Cr,Bhayandar East,Under Construction,New
1,Apartment,Delta Woods,687,70,L,Mira Road East,Under Construction,New
2,Apartment,Raj Akshay,881,94.58,L,Mira Road East,Under Construction,New
2,Apartment,Ashtavinayak Developer Ashtavinayak Everest Heights,1050,65,L,Taloje,Ready to move,Resale
3,Apartment,JP North Barcelona Wing D,1338,1.73,Cr,Mira Road East,Under Construction,New
1,Apartment,Tanvi Eminence I,782,62,L,Mira Road East,Ready to move,Resale
2,Apartment,Unique Ivana,820,82.01,L,Mira Road East,Ready to move,New
2,Apartment,Kalpataru Srishti Namaah,865,1.15,Cr,Mira Road East,Under Construction,New
2,Apartment,SKD Pinnacolo And Pinnacolo NX,867,88,L,Mira Road East,Ready to move,New
1,Apartment,Umiya Oasis,620,59,L,Mira Road East,Under Construction,New
2,Apartment,MICL Aradhya D And E Tower,850,1.09,Cr,Bhayandar East,Ready to move,Resale
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
2,Apartment,Shapoorji Pallonji Northern Lights,618,1.48,Cr,Thane West,Under Construction,New
2,Apartment,Shapoorji Pallonji Northern Lights,543,1.35,Cr,Thane West,Under Construction,New
3,Apartment,Shapoorji Pallonji Northern Lights,981,2.35,Cr,Thane West,Under Construction,New
1,Apartment,Reputed Builder Daulat Shirin,650,2.25,Cr,Cuffe Parade,Ready to move,Resale
1,Apartment,Sanghvi S3 Skyrise,539,58,L,Mira Road East,Under Construction,New
1,Apartment,Kalpataru Srishti,577,89,L,Mira Road East,Under Construction,New
2,Apartment,Sanghvi Ecocity,1055,84.56,L,Mira Road East,Ready to move,New
1,Apartment,SK Imperial Heights,674,63.1,L,Mira Road East,Ready to move,New
2,Apartment,Happy Home Residency,950,81.22,L,Mira Road East,Ready to move,New
2,Apartment,RNA NG N G Valencia Phase I,999,83.41,L,Mira Road East,Ready to move,New
1,Apartment,Salasar Exotica I,747,57.13,L,Mira Road East,Under Construction,New
1,Apartment,Sunteck Maxx World,549,42.5,L,Naigaon East,Under Construction,New
2,Apartment,Sunteck Maxx World,769,63,L,Naigaon East,Under Construction,New
3,Apartment,Sunteck Maxx World,1013,83,L,Naigaon East,Under Construction,New
1,Apartment,Sunteck One World,549,37,L,Naigaon East,Under Construction,New
1,Apartment,Sunteck One World,549,35.75,L,Naigaon East,Under Construction,New
1,Apartment,Sunteck One World,549,37.75,L,Naigaon East,Under Construction,New
2,Apartment,Sunteck One World,742,52.5,L,Naigaon East,Under Construction,New
1,Apartment,Salasar Woods,747,65.21,L,Mira Road East,Ready to move,New
2,Apartment,Swagat Heights,1020,78.74,L,Mira Road East,Ready to move,New
2,Apartment,Raj Florenza,1025,91.22,L,Mira Road East,Ready to move,New
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
2,Apartment,JK IRIS,1137,79,L,Mira Road East,Ready to move,New
1,Apartment,Sanghvi S3 Skyrise,539,58,L,Mira Road East,Under Construction,New
1,Apartment,Umiya Oasis,590,59,L,Mira Road East,Under Construction,New
2,Apartment,Raymond Ten X Habitat Raymond Realty Tower F,516,1.19,Cr,Thane West,Under Construction,New
2,Apartment,Raymond Ten X Habitat Raymond Realty Tower F,646,1.49,Cr,Thane West,Under Construction,New
2,Apartment,Kalpataru Paramount,712,1.46,Cr,Thane West,Under Construction,New
2,Apartment,Kalpataru Paramount,712,1.46,Cr,Thane West,Under Construction,New
1,Apartment,South Field Gravity,555,65,L,Bhandup East,Under Construction,Resale
1,Apartment,JP Codename Dream Home Tower C,625,77,L,Mira Road East,Under Construction,New
1,Apartment,Kakad Paradise Phase 2,652,65,L,Mira Road East,Ready to move,New
2,Apartment,Kalpataru Srishti Namaah,953,1.25,Cr,Mira Road East,Under Construction,New
1,Apartment,Sanghvi Ecocity,705,55.84,L,Mira Road East,Under Construction,New
2,Apartment,SK Imperial Heights,864,79.49,L,Mira Road East,Under Construction,New
1,Apartment,Shekhar Bhoir Kaneri Heights,609,37,L,Naigaon East,Under Construction,New
2,Apartment,JP North Barcelona Wing D,945,1.33,Cr,Mira Road East,Under Construction,New
2,Apartment,MICL Aaradhya Highpark,877,1.17,Cr,Bhayandar East,Under Construction,New
3,Apartment,Raheja Exotica Sorento,1527,2.9,Cr,Malad West,Under Construction,New
1,Apartment,Shree Khodiyar Aangan Villa,625,33,L,Dronagiri,Ready to move,New
2,Apartment,JP Codename Dream Home Tower C,831,99,L,Mira Road East,Under Construction,New
1,Apartment,JP Codename Dream Home Tower C,578,71,L,Mira Road East,Under Construction,New
1,Apartment,Salasar Exotica I,634,64.44,L,Mira Road East,Under Construction,New
2,Apartment,RNA NG N G Valencia Phase I,999,83.41,L,Mira Road East,Ready to move,New
2,Apartment,RNA NG N G Valencia Phase I,999,83.41,L,Mira Road East,Ready to move,New
2,Apartment,RNA NG N G Valencia Phase I,999,83.41,L,Mira Road East,Ready to move,New
1,Apartment,JP Codename Dream Home Tower B,405,65.99,L,Mira Road East,Under Construction,New
3,Apartment,JP Codename Dream Home Tower B,799,1.25,Cr,Mira Road East,Under Construction,New
1,Apartment,JP Codename Dream Home Tower B,431,69,L,Mira Road East,Under Construction,New
1,Apartment,JP Codename Dream Home Tower B,399,62.99,L,Mira Road East,Under Construction,New
3,Apartment,JP Codename Dream Home Tower B,1010,1.34,Cr,Mira Road East,Under Construction,New
2,Apartment,JP Codename Dream Home Tower B,578,94.99,L,Mira Road East,Under Construction,New
2,Apartment,JP Codename Dream Home Tower B,516,90,L,Mira Road East,Under Construction,New
1,Apartment,Amar Vinay Heritage,395,64.25,L,Mira Road East,Under Construction,New
2,Apartment,Amar Vinay Heritage,554,80.35,L,Mira Road East,Under Construction,New
2,Apartment,Amar Vinay Heritage,544,78.45,L,Mira Road East,Under Construction,New
2,Apartment,Amar Vinay Heritage,558,82.1,L,Mira Road East,Under Construction,New
1,Apartment,Amar Vinay Heritage,377,61.2,L,Mira Road East,Under Construction,New
2,Apartment,Amar Vinay Heritage,566,84.5,L,Mira Road East,Under Construction,New
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
1,Apartment,MICL Aaradhya Highpark,616,69,L,Bhayandar East,Ready to move,Resale
2,Apartment,MICL Aradhya D And E Tower,850,1.09,Cr,Bhayandar East,Under Construction,New
1,Apartment,Sanghvi S3 Skyrise,539,58,L,Mira Road East,Under Construction,New
2,Apartment,Sanghvi S3 Skyrise,912,84,L,Mira Road East,Ready to move,New
2,Apartment,Sanghvi S3 Skyrise,912,84,L,Mira Road East,Ready to move,New
1,Apartment,Sanghvi S3 Skyrise,539,58,L,Mira Road East,Under Construction,New
1,Apartment,JP North Aviva,263,51.28,L,Mira Road East,Under Construction,New
1,Apartment,JP North Aviva,266,51.87,L,Mira Road East,Under Construction,New
1,Apartment,Shree Ramdev Heights,575,67,L,Mira Road East,Ready to move,Resale
2,Apartment,Shree Ramdev Heights,816,92,L,Mira Road East,Ready to move,Resale
3,Apartment,Ashish Samriddhi,1144,1.52,Cr,Mira Road East,Ready to move,New
1,Apartment,Space Residence II Building No 4 B,451,64.88,L,Mira Road East,Under Construction,New
3,Apartment,Space Residence II Building No 4 B,902,1.29,Cr,Mira Road East,Under Construction,New
2,Apartment,Space Residence II Building No 4 B,687,98.85,L,Mira Road East,Under Construction,New
2,Apartment,Space Residence II Building No 4 B,590,84.97,L,Mira Road East,Under Construction,New
2,Apartment,Space Residence II Building No 4 B,615,88.56,L,Mira Road East,Under Construction,New
1,Apartment,Usha Radhe Krishna Park,600,24.8,L,Karjat,Ready to move,New
1,Apartment,H G Shivoham,443,1.35,Cr,Girgaon,Ready to move,New
2,Apartment,Lodha Codename Crown Jewel,840,1,Cr,Thane West,Ready to move,Resale
2,Apartment,Siddhi Highland Gardens,790,1.19,Cr,Thane West,Ready to move,Resale
2,Apartment,Lodha Codename Crown Jewel,680,88,L,Thane West,Ready to move,Resale
2,Apartment,Lodha Codename Crown Jewel,760,1.05,Cr,Thane West,Ready to move,Resale
2,Apartment,Lodha Codename Crown Jewel,760,1.04,Cr,Thane West,Ready to move,Resale
1,Apartment,Lodha Amara 3 Bhk With Deck,667,70,L,Thane West,Ready to move,Resale
1,Apartment,Lodha Amara Tower 26 27 28 30 34 35,667,70,L,Thane West,Ready to move,Resale
1,Apartment,Lodha Amara Tower 26 27 28 30 34 35,667,70,L,Thane West,Ready to move,Resale
2,Apartment,Hiranandani One Hiranandani Park,680,1.65,Cr,Thane West,Ready to move,Resale
2,Apartment,Dosti West County Oak,698,84,L,Thane West,Ready to move,Resale
2,Apartment,Wadhwa Solitaire,850,1.15,Cr,Thane West,Ready to move,Resale
3,Apartment,Lodha Codename Crown Jewel,1070,1.4,Cr,Thane West,Ready to move,Resale
2,Apartment,Umiya Oasis,1050,86,L,Mira Road East,Under Construction,New
2,Apartment,Reputed Builder Krishna Residency,890,1.75,Cr,Malad West,Ready to move,Resale
1,Apartment,Nisarg Greens,750,35,L,Ambernath East,Ready to move,New
2,Apartment,Mahindra The Great Eastern Gardens,830,2.42,Cr,Kanjurmarg,Ready to move,Resale
3,Apartment,Lodha Luxuria,1845,2.35,Cr,Thane West,Ready to move,Resale
3,Apartment,Lodha Luxuria,1845,2.37,Cr,Thane West,Ready to move,Resale
2,Apartment,Antalica Tower,941,39,L,Ambernath West,Under Construction,New
1,Apartment,PNK Poonam Sagar Complex,610,65,L,Mira Road East,Ready to move,Resale
2,Apartment,Reliance Residency NX,1050,40,L,Ambernath East,Ready to move,Resale
2,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,680,81,L,Mira Road East,Under Construction,New
3,Apartment,Vardhman Flora,1093,3.3,Cr,Byculla,Under Construction,New
3,Apartment,Gee Cee Proximus,1320,3.35,Cr,Chembur,Under Construction,New
2,Apartment,Kalpataru Sunrise,750,90,L,Thane West,Ready to move,Resale
3,Apartment,Kaul Enterprises Heritage City,1300,85,L,Vasai,Ready to move,Resale
2,Apartment,Larkins Pride Palms,810,1.2,Cr,Thane West,Ready to move,Resale
2,Apartment,Chamunda Kesar Paradise,1250,1.8,Cr,Nerul,Ready to move,Resale
3,Apartment,Hiranandani Hiranandani Gardens,1600,4.25,Cr,Powai,Ready to move,Resale
3,Apartment,Hiranandani Hiranandani Gardens,1600,4.75,Cr,Powai,Ready to move,Resale
3,Apartment,Hiranandani Hiranandani Gardens,1650,4.5,Cr,Powai,Ready to move,Resale
2,Apartment,Maitri Park,1100,1.9,Cr,Bhiwandi,Ready to move,Resale
2,Apartment,Prayag City Phase I,900,45,L,Koproli,Ready to move,Resale
1,Apartment,Omkar Residency,910,51,L,Panvel,Under Construction,New
1,Studio Apartment,Omkar Residency,340,17.9,L,Panvel,Under Construction,New
1,Apartment,PNK Poonam Sagar Complex,610,55,L,Mira Road East,Ready to move,Resale
2,Apartment,Hubtown Akruti Gardenia,750,88,L,Mira Road East,Ready to move,Resale
2,Apartment,Unique Aurum,780,1.15,Cr,Mira Road East,Ready to move,Resale
2,Apartment,Rassaz Greens ,900,98.6,L,Mira Road East,Ready to move,New
2,Apartment,Aniline Avanya Tower B,650,1,Cr,Dahisar,Under Construction,New
2,Apartment,Mahadev Mahadev Complex,950,76,L,Mira Road East,Ready to move,Resale
1,Apartment,Shree Balaji Heights,650,62,L,Mira Road East,Ready to move,Resale
1,Apartment,Hubtown Iris,696,60,L,Mira Road East,Ready to move,Resale
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Ready to move,Resale
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Under Construction,New
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Under Construction,New
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Ready to move,Resale
3,Apartment,Lodha Paradise,1620,2,Cr,Thane West,Ready to move,Resale
1,Apartment,Mayfair Virar Gardens Phase 2,500,30,L,Virar,Under Construction,New
2,Apartment,Chheda Avighna Building No 3,750,77.55,L,Mira Road East,Under Construction,New
1,Studio Apartment,Maitri Maitri,390,22,L,Dronagiri,Ready to move,New
1,Apartment,PNK Imperial Heights,550,70,L,Mira Road East,Ready to move,Resale
3,Apartment,Swaraj Homes Mano Shanti Apartment,1450,1.75,Cr,Vashi,Ready to move,Resale
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Ready to move,Resale
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Ready to move,Resale
1,Apartment,Chheda Avighna Building No 3,525,54.99,L,Mira Road East,Under Construction,New
2,Apartment,Omkar Residency,900,50,L,Panvel,Under Construction,New
3,Apartment,SD Building No 3 Wing C Aquila,1275,2.51,Cr,Kandivali East,Under Construction,New
2,Apartment,Chheda Rameshwar Towers,990,95,L,Mira Road East,Ready to move,Resale
1,Apartment,Enso Enso Sanza,520,78,L,Kandivali East,Ready to move,New
1,Apartment,Enso Enso Sanza,520,78,L,Kandivali East,Under Construction,New
1,Apartment,Enso Enso Sanza,520,78,L,Kandivali East,Under Construction,New
2,Apartment,SD Siennaa Wing D,890,2.1,Cr,Kandivali East,Ready to move,Resale
2,Apartment,SD Siennaa Wing D,890,2.1,Cr,Kandivali East,Under Construction,New
2,Apartment,SD Siennaa Wing D,890,2.1,Cr,Kandivali East,Under Construction,New
2,Apartment,SD Siennaa Wing D,890,2.1,Cr,Kandivali East,Under Construction,New
2,Apartment,Sanghvi Ecocity,850,81,L,Mira Road East,Under Construction,New
2,Apartment,Kuber Pioneer Park,950,1.1,Cr,Thane West,Under Construction,Resale
3,Apartment,Soham Crystal Spires,1650,3.9,Cr,Thane West,Ready to move,New
2,Apartment,Laxmi Avenue D Global City,790,35.5,L,Virar,Ready to move,Resale
2,Apartment,Sheth Irene Wing A Phase 1,750,1.7,Cr,Malad West,Under Construction,New
2,Apartment,K Raheja Palm Court,800,1.85,Cr,Malad West,Ready to move,Resale
1,Apartment,PNK Poonam Sagar Complex,560,67,L,Mira Road East,Ready to move,Resale
1,Apartment,Reputed Builder Omkar SaiLtd,500,1.4,Cr,Lower Parel,Ready to move,Resale
1,Studio Apartment,Omkar Nest,410,25,L,Ulwe,Ready to move,Resale
3,Apartment,Presidency,1650,1.75,Cr,Ulwe,Ready to move,Resale
1,Apartment,Narmada Gagan CHS,495,53,L,Mira Road East,Ready to move,Resale
3,Apartment,Hindustan Klockner Sea Pearl,1400,7.5,Cr,Girgaon,Ready to move,Resale
3,Apartment,Shapoorji Pallonji Crescent Tower,2000,8,Cr,Tardeo,Ready to move,Resale
3,Apartment,Sambhav The Primordial House,1575,9.5,Cr,Tardeo,Ready to move,Resale
3,Villa,Ideal Acciano Aurelia,1300,1.6,Cr,Vasai,Ready to move,New
2,Apartment,Mahindra The Great Eastern Gardens,830,2.42,Cr,Kanjurmarg,Ready to move,Resale
3,Apartment,Ajmera Himalayan Heights,1315,2.8,Cr,Wadala,Ready to move,Resale
3,Apartment,Reputed Builder Mount Alps A,1255,2.75,Cr,Wadala,Ready to move,Resale
3,Apartment,Ajmera Julian Alps,1315,3.1,Cr,Wadala,Ready to move,Resale
2,Apartment,Reputed Builder Bolivain Alps,955,1.8,Cr,Wadala,Ready to move,Resale
1,Apartment,Rubberwala Valencia,575,1.15,Cr,Parel,Ready to move,Resale
2,Apartment,Lodha New Cuffe Parade Lodha Altia,1350,2.85,Cr,Wadala,Ready to move,Resale
2,Apartment,Lodha Elisium,1400,2.75,Cr,Wadala,Ready to move,Resale
2,Apartment,Ajmera Cosmic Heights,965,1.65,Cr,Wadala,Ready to move,Resale
1,Apartment,Patel Elysium 2,650,26,L,Ambernath East,Ready to move,Resale
2,Apartment,Mahindra The Great Eastern Gardens,830,2.42,Cr,Kanjurmarg,Ready to move,Resale
2,Apartment,Gurukrupa Aramus Complex,1280,90,L,Ulwe,Ready to move,Resale
3,Apartment,Kaul Enterprises Heritage City,1350,85,L,Vasai,Ready to move,Resale
1,Studio Apartment,Prayag Galaxy,410,19,L,Panvel,Ready to move,Resale
1,Apartment,Reputed Builder Omkar SaiLtd,500,1.44,Cr,Lower Parel,Ready to move,Resale
2,Apartment,Reputed Builder Vraj Green Vally,1050,1.05,Cr,Thane West,Ready to move,Resale
2,Apartment,Lodha Park,1026,4.25,Cr,Lower Parel,Ready to move,Resale
3,Apartment,Agrawal Group Kauls Heritage City,1340,1,Cr,Vasai,Ready to move,Resale
2,Apartment,Beauty Landmark,800,1.35,Cr,Bhandup West,Ready to move,Resale
2,Apartment,Runwal Garden City,700,82,L,Thane West,Ready to move,Resale
2,Apartment,Accel Belvedere,675,1.3,Cr,Bhandup West,Ready to move,Resale
2,Apartment,Reputed Builder Lords Apartment,814,1.45,Cr,Bhandup West,Ready to move,Resale
2,Apartment,Mayuresh Group Residency,800,1.85,Cr,Bhandup West,Ready to move,Resale
2,Apartment,Runwal Avenue,571,1.7,Cr,Kanjurmarg,Under Construction,New
2,Apartment,Runwal Avenue,571,1.7,Cr,Kanjurmarg,Under Construction,New
1,Apartment,Runwal Avenue,401,1.19,Cr,Kanjurmarg,Under Construction,New
1,Apartment,Runwal Avenue,401,1.19,Cr,Kanjurmarg,Under Construction,New
